_id,_score,admin1,confirmed_numIncrease,date
USA_Colorado_None2020-02-17,8.454084,Colorado,0,2020-02-17
USA_Colorado_None2020-02-18,8.454084,Colorado,0,2020-02-18
USA_Colorado_None2020-02-22,8.454084,Colorado,0,2020-02-22
USA_Colorado_None2020-02-29,8.454084,Colorado,0,2020-02-29
USA_Colorado_None2020-03-01,8.454084,Colorado,0,2020-03-01
USA_Colorado_None2020-03-04,8.454084,Colorado,0,2020-03-04
USA_Colorado_None2020-03-06,8.454084,Colorado,6,2020-03-06
USA_Colorado_None2020-03-07,8.454084,Colorado,0,2020-03-07
USA_Colorado_None2020-03-16,8.454084,Colorado,25,2020-03-16
USA_Colorado_None2020-03-18,8.454084,Colorado,33,2020-03-18
USA_Colorado_None2020-03-28,8.454084,Colorado,323,2020-03-28
USA_Colorado_None2020-03-30,8.454084,Colorado,319,2020-03-30
USA_Colorado_None2020-04-02,8.454084,Colorado,386,2020-04-02
USA_Colorado_None2020-04-03,8.454084,Colorado,445,2020-04-03
USA_Colorado_None2020-04-09,8.454084,Colorado,547,2020-04-09
USA_Colorado_None2020-04-11,8.454084,Colorado,380,2020-04-11
USA_Colorado_None2020-04-12,8.454084,Colorado,414,2020-04-12
USA_Colorado_None2020-04-20,8.454084,Colorado,382,2020-04-20
USA_Colorado_None2020-04-24,8.454084,Colorado,978,2020-04-24
USA_Colorado_None2020-04-30,8.454084,Colorado,526,2020-04-30
USA_Colorado_None2020-05-02,8.454084,Colorado,432,2020-05-02
USA_Colorado_None2020-05-04,8.454084,Colorado,283,2020-05-04
USA_Colorado_None2020-05-06,8.454084,Colorado,465,2020-05-06
USA_Colorado_None2020-05-09,8.454084,Colorado,548,2020-05-09
USA_Colorado_None2020-05-14,8.454084,Colorado,363,2020-05-14
USA_Colorado_None2020-05-15,8.454084,Colorado,394,2020-05-15
USA_Colorado_None2020-05-18,8.454084,Colorado,264,2020-05-18
USA_Colorado_None2020-05-27,8.454084,Colorado,202,2020-05-27
USA_Colorado_None2020-06-03,8.454084,Colorado,272,2020-06-03
USA_Colorado_None2020-06-04,8.454084,Colorado,300,2020-06-04
USA_Colorado_None2020-06-08,8.454084,Colorado,182,2020-06-08
USA_Colorado_None2020-06-13,8.454084,Colorado,195,2020-06-13
USA_Colorado_None2020-06-17,8.454084,Colorado,229,2020-06-17
USA_Colorado_None2020-06-18,8.454084,Colorado,230,2020-06-18
USA_Colorado_None2020-06-22,8.454084,Colorado,166,2020-06-22
USA_Colorado_None2020-06-24,8.454084,Colorado,262,2020-06-24
USA_Colorado_None2020-06-28,8.454084,Colorado,285,2020-06-28
USA_Colorado_None2020-07-03,8.454084,Colorado,260,2020-07-03
USA_Colorado_None2020-07-09,8.454084,Colorado,409,2020-07-09
USA_Colorado_None2020-07-10,8.454084,Colorado,666,2020-07-10
USA_Colorado_None2020-07-12,8.454084,Colorado,322,2020-07-12
USA_Colorado_None2020-07-13,8.454084,Colorado,323,2020-07-13
USA_Colorado_None2020-07-18,8.454084,Colorado,444,2020-07-18
USA_Colorado_None2020-07-20,8.454084,Colorado,424,2020-07-20
USA_Colorado_None2020-07-27,8.454084,Colorado,229,2020-07-27
USA_Colorado_None2020-07-30,8.454084,Colorado,408,2020-07-30
USA_Colorado_None2020-08-06,8.454084,Colorado,448,2020-08-06
USA_Colorado_None2020-08-07,8.454084,Colorado,457,2020-08-07
USA_Colorado_None2020-08-08,8.454084,Colorado,431,2020-08-08
USA_Colorado_None2020-08-23,8.454084,Colorado,260,2020-08-23
USA_Colorado_None2020-08-27,8.454084,Colorado,350,2020-08-27
USA_Colorado_None2020-08-28,8.454084,Colorado,430,2020-08-28
USA_Colorado_None2020-08-30,8.454084,Colorado,183,2020-08-30
USA_Colorado_None2020-09-03,8.454084,Colorado,268,2020-09-03
USA_Colorado_None2020-09-05,8.454084,Colorado,699,2020-09-05
USA_Colorado_None2020-09-06,8.454084,Colorado,285,2020-09-06
USA_Colorado_None2020-09-07,8.454084,Colorado,213,2020-09-07
USA_Colorado_None2020-09-08,8.454084,Colorado,187,2020-09-08
USA_Colorado_None2020-09-09,8.454084,Colorado,240,2020-09-09
USA_Colorado_None2020-09-11,8.454084,Colorado,307,2020-09-11
USA_Colorado_None2020-09-17,8.454084,Colorado,459,2020-09-17
USA_Colorado_None2020-09-24,8.454084,Colorado,548,2020-09-24
USA_Colorado_None2020-09-26,8.454084,Colorado,584,2020-09-26
USA_Colorado_None2020-09-29,8.454084,Colorado,535,2020-09-29
USA_Colorado_None2020-10-01,8.454084,Colorado,682,2020-10-01
USA_Colorado_None2020-10-03,8.454084,Colorado,657,2020-10-03
USA_Colorado_None2020-10-04,8.454084,Colorado,521,2020-10-04
USA_Colorado_None2020-10-09,8.454084,Colorado,834,2020-10-09
USA_Colorado_None2020-10-10,8.454084,Colorado,1023,2020-10-10
USA_Colorado_None2020-10-17,8.454084,Colorado,1139,2020-10-17
USA_Colorado_None2020-10-20,8.454084,Colorado,1208,2020-10-20
USA_Colorado_None2020-10-22,8.454084,Colorado,1373,2020-10-22
USA_Colorado_None2020-10-24,8.454084,Colorado,1828,2020-10-24
USA_Colorado_None2020-10-25,8.454084,Colorado,1689,2020-10-25
USA_Colorado_None2020-10-31,8.454084,Colorado,2924,2020-10-31
USA_Colorado_None2020-11-01,8.454084,Colorado,2560,2020-11-01
USA_Colorado_None2020-11-05,8.454084,Colorado,3369,2020-11-05
USA_Colorado_None2020-11-07,8.454084,Colorado,3498,2020-11-07
USA_Colorado_None2020-11-09,8.454084,Colorado,3553,2020-11-09
USA_Colorado_None2020-11-11,8.454084,Colorado,3975,2020-11-11
USA_Colorado_None2020-11-13,8.454084,Colorado,6439,2020-11-13
USA_Colorado_None2020-11-19,8.454084,Colorado,6107,2020-11-19
USA_Colorado_None2020-11-22,8.454084,Colorado,3921,2020-11-22
USA_Colorado_None2020-11-23,8.454084,Colorado,3689,2020-11-23
USA_Colorado_None2020-11-26,8.454084,Colorado,6053,2020-11-26
USA_Colorado_None2020-11-29,8.454084,Colorado,3489,2020-11-29
USA_Colorado_None2020-12-04,8.454084,Colorado,5013,2020-12-04
USA_Colorado_None2020-12-06,8.454084,Colorado,3234,2020-12-06
USA_Colorado_None2020-12-08,8.454084,Colorado,3971,2020-12-08
USA_Colorado_None2020-12-09,8.454084,Colorado,3757,2020-12-09
USA_Colorado_None2020-12-18,8.454084,Colorado,3693,2020-12-18
USA_Colorado_None2020-12-23,8.454084,Colorado,2948,2020-12-23
USA_Colorado_None2020-12-26,8.454084,Colorado,1430,2020-12-26
USA_Colorado_None2020-12-31,8.454084,Colorado,3238,2020-12-31
USA_Colorado_None2021-01-07,8.454084,Colorado,3473,2021-01-07
USA_Colorado_None2021-01-12,8.454084,Colorado,1511,2021-01-12
USA_Colorado_None2021-01-13,8.454084,Colorado,2438,2021-01-13
USA_Colorado_None2021-01-14,8.454084,Colorado,2403,2021-01-14
USA_Colorado_None2021-01-15,8.454084,Colorado,2281,2021-01-15
USA_Colorado_None2021-01-21,8.454084,Colorado,1983,2021-01-21
USA_Colorado_None2021-01-24,8.454084,Colorado,1319,2021-01-24
USA_Colorado_None2021-01-26,8.454084,Colorado,1120,2021-01-26
USA_Colorado_None2021-02-01,8.454084,Colorado,916,2021-02-01
USA_Colorado_None2021-02-03,8.454084,Colorado,1230,2021-02-03
USA_Colorado_None2021-02-05,8.454084,Colorado,1903,2021-02-05
USA_Colorado_None2021-02-08,8.454084,Colorado,946,2021-02-08
USA_Colorado_None2021-02-14,8.454084,Colorado,853,2021-02-14
USA_Colorado_None2021-02-15,8.454084,Colorado,533,2021-02-15
USA_Colorado_None2021-02-19,8.454084,Colorado,1280,2021-02-19
USA_Colorado_None2021-02-23,8.454084,Colorado,1096,2021-02-23
USA_Colorado_None2021-02-26,8.454084,Colorado,1521,2021-02-26
USA_Colorado_None2021-03-02,8.454084,Colorado,776,2021-03-02
USA_Colorado_None2021-03-05,8.454084,Colorado,1633,2021-03-05
USA_Colorado_None2021-03-07,8.454084,Colorado,850,2021-03-07
USA_Colorado_None2021-03-08,8.454084,Colorado,575,2021-03-08
USA_Colorado_None2021-03-11,8.454084,Colorado,955,2021-03-11
USA_Colorado_None2021-03-14,8.454084,Colorado,1215,2021-03-14
USA_Colorado_None2021-03-16,8.454084,Colorado,322,2021-03-16
USA_Colorado_None2021-03-18,8.454084,Colorado,1242,2021-03-18
USA_Colorado_None2021-03-20,8.454084,Colorado,1466,2021-03-20
USA_Colorado_None2021-03-26,8.454084,Colorado,1409,2021-03-26
USA_Colorado_None2021-03-27,8.454084,Colorado,1295,2021-03-27
USA_Colorado_None2021-03-29,8.454084,Colorado,807,2021-03-29
USA_Colorado_None2021-03-31,8.454084,Colorado,1763,2021-03-31
USA_Colorado_None2021-04-01,8.454084,Colorado,1604,2021-04-01
USA_Colorado_None2021-04-07,8.454084,Colorado,1914,2021-04-07
USA_Colorado_None2021-04-08,8.454084,Colorado,1885,2021-04-08
USA_Colorado_None2021-04-24,8.454084,Colorado,1917,2021-04-24
USA_Colorado_None2021-04-25,8.454084,Colorado,1567,2021-04-25
USA_Colorado_None2021-04-28,8.454084,Colorado,1137,2021-04-28
USA_Colorado_None2021-04-29,8.454084,Colorado,2789,2021-04-29
USA_Colorado_None2021-05-01,8.454084,Colorado,1838,2021-05-01
USA_Colorado_None2021-05-12,8.454084,Colorado,1213,2021-05-12
USA_Colorado_None2021-05-13,8.454084,Colorado,1846,2021-05-13
USA_Colorado_None2021-05-15,8.454084,Colorado,972,2021-05-15
USA_Colorado_None2021-05-19,8.454084,Colorado,1245,2021-05-19
USA_Colorado_None2021-05-24,8.454084,Colorado,457,2021-05-24
USA_Colorado_None2021-05-29,8.454084,Colorado,679,2021-05-29
USA_Colorado_None2021-05-31,8.454084,Colorado,285,2021-05-31
USA_Colorado_None2021-06-02,8.454084,Colorado,576,2021-06-02
USA_Colorado_None2021-06-04,8.454084,Colorado,767,2021-06-04
USA_Colorado_None2021-06-06,8.454084,Colorado,374,2021-06-06
USA_Colorado_None2021-06-07,8.454084,Colorado,317,2021-06-07
USA_Colorado_None2021-06-10,8.454084,Colorado,596,2021-06-10
USA_Colorado_None2021-06-12,8.454084,Colorado,604,2021-06-12
USA_Colorado_None2021-06-14,8.454084,Colorado,237,2021-06-14
USA_Colorado_None2021-06-16,8.454084,Colorado,464,2021-06-16
USA_Colorado_None2021-06-17,8.454084,Colorado,543,2021-06-17
USA_Colorado_None2021-06-19,8.454084,Colorado,396,2021-06-19
USA_Colorado_None2021-06-20,8.454084,Colorado,272,2021-06-20
USA_Colorado_None2021-06-21,8.454084,Colorado,222,2021-06-21
USA_Colorado_None2021-06-22,8.454084,Colorado,383,2021-06-22
USA_Colorado_None2021-06-23,8.454084,Colorado,504,2021-06-23
USA_Colorado_None2021-06-25,8.454084,Colorado,402,2021-06-25
USA_Colorado_None2021-06-26,8.454084,Colorado,571,2021-06-26
USA_Colorado_None2021-07-01,8.454084,Colorado,530,2021-07-01
USA_Colorado_None2021-07-02,8.454084,Colorado,499,2021-07-02
USA_Colorado_None2021-07-06,8.454084,Colorado,217,2021-07-06
USA_Colorado_None2021-07-09,8.454084,Colorado,1052,2021-07-09
USA_Colorado_None2021-07-10,8.454084,Colorado,489,2021-07-10
USA_Colorado_None2021-07-13,8.454084,Colorado,556,2021-07-13
USA_Colorado_None2021-07-22,8.454084,Colorado,759,2021-07-22
USA_Colorado_None2021-07-29,8.454084,Colorado,1053,2021-07-29
USA_Colorado_None2021-08-01,8.454084,Colorado,0,2021-08-01
USA_Colorado_None2021-08-03,8.454084,Colorado,991,2021-08-03
USA_Colorado_None2021-08-06,8.454084,Colorado,1082,2021-08-06
USA_Colorado_None2021-08-07,8.454084,Colorado,0,2021-08-07
USA_Colorado_None2021-08-10,8.454084,Colorado,890,2021-08-10
USA_Colorado_None2021-08-11,8.454084,Colorado,1210,2021-08-11
USA_Colorado_None2021-08-14,8.454084,Colorado,0,2021-08-14
USA_Colorado_None2021-08-15,8.454084,Colorado,0,2021-08-15
USA_Colorado_None2021-08-18,8.454084,Colorado,2023,2021-08-18
USA_Colorado_None2021-08-25,8.454084,Colorado,1720,2021-08-25
USA_Colorado_None2021-08-27,8.454084,Colorado,2080,2021-08-27
USA_Colorado_None2021-08-28,8.454084,Colorado,0,2021-08-28
USA_Colorado_None2021-08-31,8.454084,Colorado,2148,2021-08-31
